Geneid,Genesymbol,Genebiotype,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000107643,MAPK8,protein_coding,2736,3359,2257,2615,1320,478,348,1011
ENSG00000107651,SEC23IP,protein_coding,4515,5404,5889,6313,2363,755,942,2672
ENSG00000107669,ATE1,protein_coding,2106,2145,1396,1655,782,231,289,878
ENSG00000107672,NSMCE4A,protein_coding,1296,1503,1296,1635,501,180,243,685
ENSG00000107679,PLEKHA1,protein_coding,2494,2857,1881,2190,1133,339,288,895
ENSG00000107719,PALD1,protein_coding,15,9,12,37,77,33,50,125
ENSG00000107731,UNC5B,protein_coding,280,299,111,179,81,35,21,52
ENSG00000107736,CDH23,protein_coding,10,21,12,7,12,7,10,31
ENSG00000107738,VSIR,protein_coding,0,6,0,5,216,83,105,281
ENSG00000107742,SPOCK2,protein_coding,50,64,83,124,10,4,10,12
ENSG00000107745,MICU1,protein_coding,1797,1962,2241,3068,798,306,338,949
ENSG00000107758,PPP3CB,protein_coding,1928,2189,1731,2008,1132,382,385,1073
ENSG00000107771,CCSER2,protein_coding,1459,1518,1202,1325,1987,634,581,1789
ENSG00000107779,BMPR1A,protein_coding,1227,1515,698,749,968,250,293,846
ENSG00000107789,MINPP1,protein_coding,598,732,654,775,547,181,218,627
ENSG00000107796,ACTA2,protein_coding,156,210,239,404,28,12,15,30
ENSG00000107798,LIPA,protein_coding,1748,2056,2912,2882,3984,1342,1151,3213
ENSG00000107807,TLX1,protein_coding,0,0,0,1,0,0,0,0
ENSG00000107815,TWNK,protein_coding,961,1094,1013,1403,92,21,55,124
ENSG00000107816,LZTS2,protein_coding,1463,1618,836,1225,685,258,247,598
ENSG00000107819,SFXN3,protein_coding,4438,4002,914,1496,2144,787,517,1346
ENSG00000107821,KAZALD1,protein_coding,492,577,335,381,199,47,124,257
ENSG00000107829,FBXW4,protein_coding,2794,2965,2507,3973,211,69,106,243
ENSG00000107831,FGF8,protein_coding,1,1,0,0,0,0,2,0
ENSG00000107833,NPM3,protein_coding,400,502,814,1422,93,38,113,247
ENSG00000107854,TNKS2,protein_coding,2570,3004,2721,2775,2304,771,793,2106
ENSG00000107859,PITX3,protein_coding,0,0,0,0,0,0,0,1
ENSG00000107862,GBF1,protein_coding,5936,6916,6209,8120,2475,885,761,2287
ENSG00000107863,ARHGAP21,protein_coding,2468,2573,2332,2482,4051,1419,1312,3823
ENSG00000107864,CPEB3,protein_coding,370,417,475,462,83,24,15,44
ENSG00000107872,FBXL15,protein_coding,173,278,156,384,23,9,18,49
ENSG00000107874,CUEDC2,protein_coding,2106,2365,1917,2987,386,121,195,515
ENSG00000107882,SUFU,protein_coding,1279,1451,969,1279,653,212,240,610
ENSG00000107890,ANKRD26,protein_coding,971,1107,1258,1088,164,57,62,196
ENSG00000107897,ACBD5,protein_coding,2501,2945,2095,2183,945,324,285,769
ENSG00000107902,LHPP,protein_coding,652,610,609,1000,108,30,59,140
ENSG00000107929,LARP4B,protein_coding,3994,4529,4233,4798,890,303,305,935
ENSG00000107937,GTPBP4,protein_coding,5500,6393,6764,8176,1027,335,452,1190
ENSG00000107938,EDRF1,protein_coding,1149,1445,1595,1781,719,241,307,778
ENSG00000107949,BCCIP,protein_coding,5284,5941,8830,10137,1373,446,627,1526
ENSG00000107951,MTPAP,protein_coding,978,1355,1377,1440,507,178,252,645
ENSG00000107954,NEURL1,protein_coding,32,36,1,4,12,7,6,10
ENSG00000107957,SH3PXD2A,protein_coding,158,160,89,121,491,176,213,594
ENSG00000107959,PITRM1,protein_coding,5812,6589,6880,8308,673,233,246,724
ENSG00000107960,STN1,protein_coding,307,288,228,295,248,90,85,200
